;period_2;NAME;UPDATETIME;VALTODAY;VALTODAY_USD;NUMTRADES
63;2021-January-21;commodity;2021-01-21 11:16:00;nan;nan;nan
64;2021-January-21;TOTALS;2021-01-21 23:50:24;3983603,07731;54305,8152452;3974573,0
65;2021-January-22;stock;2021-01-22 23:50:26;1743711,29375;23766,1926327;1985204,0
66;2021-January-22;currency;2021-01-22 23:49:59;1751176,39252;23867,9393933;421091,0
67;2021-January-22;futures;2021-01-22 18:44:59;671159,319817;9147,673550790001;1744804,0
68;2021-January-22;commodity;2021-01-22 11:31:00;nan;nan;nan
69;2021-January-22;TOTALS;2021-01-22 23:50:26;4166047,00609;56781,805576800005;4151099,0
70;2021-January-25;stock;2021-01-25 23:50:25;1738307,24965;23376,441433400003;2137021,0
71;2021-January-25;currency;2021-01-25 23:49:59;1525286,40266;20511,775618599997;440492,0
72;2021-January-25;futures;2021-01-25 18:44:59;719602,902766;9677,08966019;1821013,0
73;2021-January-25;commodity;2021-01-25 09:30:00;nan;nan;nan
74;2021-January-25;TOTALS;2021-01-25 23:50:25;3983196,55508;53565,3067122;4398526,0
75;2021-January-26;stock;2021-01-26 23:50:26;1866213,75753;24930,4173367;1640315,0
76;2021-January-26;currency;2021-01-26 23:49:59;1417790,35158;18940,0088914;371783,0
77;2021-January-26;futures;2021-01-26 18:44:59;666122,31355;8898,60939406;1771859,0
78;2021-January-26;commodity;2021-01-26 09:30:00;nan;nan;nan
79;2021-January-26;TOTALS;2021-01-26 23:50:26;3950126,42267;52769,0356222;3783957,0
80;2021-January-27;stock;2021-01-27 23:50:28;1752293,52389;23167,6374276;1962298,0
81;2021-January-27;currency;2021-01-27 23:49:59;1511757,66555;19987,435322;403693,0
82;2021-January-27;futures;2021-01-27 18:44:59;712886,395079;9425,30078613;1831372,0
83;2021-January-27;commodity;2021-01-27 09:30:00;nan;nan;nan
84;2021-January-27;TOTALS;2021-01-27 23:50:28;3976937,58452;52580,3735357;4197363,0
85;2021-January-28;stock;2021-01-28 23:50:29;1618443,58887;21567,745054299998;1825614,0
86;2021-January-28;currency;2021-01-28 23:49:58;1472766,36633;19626,4174618;421116,0
87;2021-January-28;futures;2021-01-28 18:44:59;766893,569635;10219,797036700002;1927270,0
88;2021-January-28;commodity;2021-01-28 09:30:00;nan;nan;nan
89;2021-January-28;TOTALS;2021-01-28 23:50:29;3858103,52484;51413,9595527;4174000,0
90;2021-January-29;stock;2021-01-29 23:50:28;1638310,50436;21504,258091;1993458,0
91;2021-January-29;currency;2021-01-29 23:49:59;1568484,83071;20587,735060900002;396078,0
92;2021-January-29;futures;2021-01-29 18:44:59;716773,038735;9408,27295958;1923960,0
93;2021-January-29;commodity;2021-01-29 09:30:00;nan;nan;nan
94;2021-January-29;TOTALS;2021-01-29 23:50:28;3923568,3738;51500,2661114;4313496,0
95;2021-February-1;stock;2021-02-01 23:50:28;2021551,79249;26511,2158978;1869869
96;2021-February-1;currency;2021-02-01 23:49:59;1314932,82051;17244,4099752;390686
97;2021-February-1;futures;2021-02-01 18:44:59;691937,40976;9074,26766213;1878624
98;2021-February-1;commodity;2021-02-01 11:26:00;80,7975;1,05960182394;1
99;2021-February-1;TOTALS;2021-02-01 23:50:28;4028502,82027;52830,953137;4139180
100;2021-February-2;stock;2021-02-02 23:50:24;1763620,79358;23357,576138099997;1833116,0
101;2021-February-2;currency;2021-02-02 23:49:59;1351351,27623;17897,4360241;436921,0
102;2021-February-2;futures;2021-02-02 19:58:48;692561,415089;9172,35498818;1848525,0
103;2021-February-2;commodity;2021-02-02 11:06:01;nan;nan;nan
104;2021-February-2;TOTALS;2021-02-02 23:50:24;3807533,4849;50427,3671504;4118562,0
105;2021-February-3;stock;2021-02-03 23:50:24;1824815,88865;24040,754687700002;1582656,0
106;2021-February-3;currency;2021-02-03 23:49:59;1277580,56697;16831,287581;375221,0
107;2021-February-3;futures;2021-02-03 18:44:59;660963,220749;8707,757723120001;1729199,0
108;2021-February-3;commodity;2021-02-03 11:16:01;nan;nan;nan
109;2021-February-3;TOTALS;2021-02-03 23:50:24;3763359,67636;49579,7999919;3687076,0
110;2021-February-4;stock;2021-02-04 23:50:25;1613960,7714;21213,9675342;1645053,0
111;2021-February-4;currency;2021-02-04 23:49:58;1351072,27343;17758,5501784;394237,0
112;2021-February-4;futures;2021-02-04 18:44:59;597222,902749;7849,92268345;1484667,0
113;2021-February-4;commodity;2021-02-04 11:11:01;nan;nan;nan
114;2021-February-4;TOTALS;2021-02-04 23:50:25;3562255,94758;46822,4403961;3523957,0
115;2021-February-5;stock;2021-02-05 23:50:24;1626667,99373;21480,0347254;1727533,0
116;2021-February-5;currency;2021-02-05 23:49:59;1280699,29477;16911,5427551;458965,0
117;2021-February-5;futures;2021-02-05 18:44:59;556440,939427;7347,76287945;1448336,0
118;2021-February-5;commodity;2021-02-05 11:21:00;nan;nan;nan
119;2021-February-5;TOTALS;2021-02-05 23:50:24;3463808,22792;45739,3403599;3634834,0
120;2021-February-8;stock;2021-02-08 23:50:24;2331841,79366;31045,4009037;1963106,0
121;2021-February-8;currency;2021-02-08 23:49:59;1138603,70059;15159,007978799998;452206,0
122;2021-February-8;futures;2021-02-08 19:21:09;478672,473577;6372,89325725;1247598,0
123;2021-February-8;commodity;2021-02-08 09:30:00;nan;nan;nan
124;2021-February-8;TOTALS;2021-02-08 23:50:24;3949117,96782;52577,3021397;3662910,0
125;2021-February-9;stock;2021-02-09 23:50:23;1965988,63301;26474,3245104;2102164,0
126;2021-February-9;currency;2021-02-09 23:49:59;1390010,82288;18718,113106099998;438249,0
127;2021-February-9;futures;2021-02-09 18:44:59;513923,689022;6920,58045928;1368483,0
128;2021-February-9;commodity;2021-02-09 09:30:00;nan;nan;nan
129;2021-February-9;TOTALS;2021-02-09 23:50:23;3869923,14491;52113,018075800006;3908896,0
130;2021-February-10;stock;2021-02-10 23:50:27;1945208,56222;26244,327545599997;1942812,0
131;2021-February-10;currency;2021-02-10 23:49:59;1302736,87222;17576,240329400003;441073,0
132;2021-February-10;futures;2021-02-10 18:44:59;509831,085848;6878,52925892;1392406,0
133;2021-February-10;commodity;2021-02-10 11:21:00;nan;nan;nan
134;2021-February-10;TOTALS;2021-02-10 23:50:27;3757776,52029;50699,0971339;3776291,0
135;2021-February-11;stock;2021-02-11 23:50:21;1727216,50803;23387,3486922;1573232,0
136;2021-February-11;currency;2021-02-11 23:49:59;1118079,14505;15139,3335515;403392,0
137;2021-February-11;futures;2021-02-11 18:44:59;426573,555443;5776,012698850001;1129541,0
138;2021-February-11;commodity;2021-02-11 11:06:00;nan;nan;nan
139;2021-February-11;TOTALS;2021-02-11 23:50:21;3271869,20852;44302,6949426;3106165,0
140;2021-February-12;stock;2021-02-12 23:50:25;1747074,88009;23686,6136385;1887491
141;2021-February-12;currency;2021-02-12 23:49:59;1429626,99414;19382,6965538;444153
142;2021-February-12;futures;2021-02-12 18:44:59;726425,936068;9848,78821208;1670344
143;2021-February-12;commodity;2021-02-12 11:16:00;126,9;1,72049366915;1
144;2021-February-12;TOTALS;2021-02-12 23:50:25;3903254,7103;52919,818898;4001989
145;2021-February-15;stock;2021-02-15 23:50:23;1893399,87902;25608,0094217;1912834,0
146;2021-February-15;currency;2021-02-15 23:49:59;427767,947187;5785,51089141;239535,0
147;2021-February-15;futures;2021-02-15 20:15:33;552895,308369;7477,84365195;1394113,0
148;2021-February-15;commodity;2021-02-15 11:16:00;nan;nan;nan
149;2021-February-15;TOTALS;2021-02-15 23:50:23;2874063,13458;38871,3639651;3546482,0
150;2021-February-16;stock;2021-02-16 23:50:27;2066423,93692;28187,7845744;1831873,0
151;2021-February-16;currency;2021-02-16 23:49:59;1390229,64308;18963,917804099998;449447,0
152;2021-February-16;futures;2021-02-16 18:44:59;586769,907313;8004,04188442;1509258,0
153;2021-February-16;commodity;2021-02-16 11:16:00;nan;nan;nan
154;2021-February-16;TOTALS;2021-02-16 23:50:27;4043423,48732;55155,7442629;3790578,0
155;2021-February-17;stock;2021-02-17 23:50:23;1862766,20914;25416,5495622;2065540,0
156;2021-February-17;currency;2021-02-17 23:49:58;1352024,32473;18447,7220438;375122,0
157;2021-February-17;futures;2021-02-17 18:44:59;691828,52506;9439,66768855;1720047,0
158;2021-February-17;commodity;2021-02-17 09:30:00;nan;nan;nan
159;2021-February-17;TOTALS;2021-02-17 23:50:23;3906619,05892;53303,9392945;4160709,0
160;2021-February-18;stock;2021-02-18 23:50:25;1563908,45609;21200,6801979;2300645,0
161;2021-February-18;currency;2021-02-18 23:49:59;1366514,25271;18524,7618202;440163,0
162;2021-February-18;futures;2021-02-18 18:44:59;675782,048079;9161,04713739;1693283,0
163;2021-February-18;commodity;2021-02-18 11:31:01;nan;nan;nan
164;2021-February-18;TOTALS;2021-02-18 23:50:25;3606204,75688;48886,4891554;4434091,0
165;2021-February-19;stock;2021-02-19 23:50:24;1559052,45455;21132,387507400003;2255704,0
166;2021-February-19;currency;2021-02-19 23:49:59;1303525,72611;17668,8158821;388655,0
167;2021-February-19;futures;2021-02-19 18:44:59;607244,058418;8230,97177814;1587492,0
168;2021-February-19;commodity;2021-02-19 09:30:00;nan;nan;nan
169;2021-February-19;TOTALS;2021-02-19 23:50:24;3469822,23908;47032,1751677;4231851,0
170;2021-February-20;stock;2021-02-20 23:50:23;709603,691174;9592,90770895;1092018,0
171;2021-February-20;currency;2021-02-20 23:49:57;58123,42752;785,7522203760001;67346,0
172;2021-February-20;futures;2021-02-20 18:44:59;239252,41344;3234,37765308;592523,0
173;2021-February-20;commodity;2021-02-20 09:30:00;nan;nan;nan
174;2021-February-20;TOTALS;2021-02-20 23:50:23;1006979,53213;13613,0375824;1751887,0
175;2021-February-22;stock;2021-02-22 23:50:23;330970,773;4473,58759342;1898427,0
176;2021-February-22;currency;2021-02-22 23:49:59;206003,53579;2784,45994961;185250,0
177;2021-February-22;futures;2021-02-22 18:44:59;460391,087623;6222,9055425100005;1131396,0
178;2021-February-22;commodity;2021-02-22 09:30:00;nan;nan;nan
179;2021-February-22;TOTALS;2021-02-22 23:50:23;997365,396413;13480,9530855;3215073,0
180;2021-February-24;stock;2021-02-24 23:50:29;1988404,90786;26876,4019428;2214956,0
181;2021-February-24;currency;2021-02-24 23:49:59;1517369,23013;20509,6181183;481765,0
182;2021-February-24;futures;2021-02-24 18:44:59;651328,918326;8803,728927010001;1618698,0
183;2021-February-24;commodity;2021-02-24 09:30:00;nan;nan;nan
184;2021-February-24;TOTALS;2021-02-24 23:50:29;4157103,05631;56189,7489881;4315419,0
185;2021-February-25;stock;2021-02-25 23:50:29;1538724,21336;20863,1518817;2264130,0
186;2021-February-25;currency;2021-02-25 23:49:59;1630613,35257;22109,0522523;460277,0
187;2021-February-25;futures;2021-02-25 18:44:59;719114,043985;9750,27583868;1695542,0
188;2021-February-25;commodity;2021-02-25 09:30:00;nan;nan;nan
189;2021-February-25;TOTALS;2021-02-25 23:50:29;3888451,60992;52722,4799727;4419949,0
190;2021-February-26;stock;2021-02-26 23:50:24;1810888,86926;24646,427535799998;2369973,0
